Name,Fouls,Corners,Offsides,Passes,Penalties,Possession,RedCard,Shots-Blocked,Shots-InsideBox,Shots-Offtarget,Shots-Ontarget,Shots-OutsideBox,Shots-Total,Tackles,YellowCard
real-madrid,9.97,5.97,2.27,578.53,0.1,57.6,0.03,2.9,9.8,10.43,5.4,6.0,15.83,14.77,1.73
real-sociedad,13.8,4.36,1.8,457.24,0.28,54.56,0.04,2.04,8.0,7.12,4.28,3.44,11.4,14.6,2.16
sevilla,11.77,4.53,1.67,550.67,0.2,61.27,0.13,1.47,7.97,8.2,4.4,4.83,12.6,12.27,2.4
atletico-madrid,11.67,5.77,2.8,482.5,0.1,52.1,0.13,1.93,8.67,8.4,4.83,4.57,13.23,16.27,2.87
rayo-vallecano,13.91,3.64,2.73,353.0,0.18,46.73,0.09,2.0,6.82,8.0,3.82,5.0,11.82,15.09,2.64
real-betis,13.13,4.9,1.9,470.37,0.3,54.0,0.13,2.33,7.8,8.37,4.7,5.3,13.07,15.67,2.67
osasuna,12.37,3.87,1.77,364.33,0.27,45.33,0.03,1.43,6.47,7.0,3.27,3.87,10.27,14.17,2.07
athletic-club,12.16,6.05,1.89,381.84,0.16,46.0,0.11,1.68,8.0,7.84,3.74,3.63,11.58,12.47,1.63
fc-barcelona,12.07,6.71,1.86,618.57,0.21,65.14,0.21,1.93,7.64,7.57,4.29,3.86,11.86,15.5,2.0
valencia,12.13,4.43,1.8,379.97,0.23,47.37,0.13,1.5,5.93,7.0,3.4,4.83,10.53,12.23,2.43
espanyol,10.67,6.17,2.08,373.25,0.17,46.33,0.17,1.58,6.42,7.83,4.17,5.33,12.0,14.25,2.08
mallorca,13.0,4.0,2.0,333.58,0.0,44.58,0.25,1.08,5.58,6.67,4.33,5.25,11.0,16.33,2.83
villarreal,11.5,4.5,2.36,508.43,0.0,58.5,0.14,2.14,8.86,7.43,4.29,2.5,11.71,14.64,2.79
celta-de-vigo,14.9,3.53,1.87,414.47,0.2,55.73,0.13,1.1,6.3,6.1,3.5,3.27,9.6,18.1,2.8
elche,12.47,4.4,1.57,385.77,0.03,47.3,0.07,1.2,5.17,5.5,2.87,2.97,8.37,14.4,2.63
deportivo-alaves,12.63,4.33,1.67,337.43,0.13,42.57,0.1,1.1,6.63,6.23,3.03,3.13,9.27,13.0,2.33
cadiz,9.67,3.97,1.5,267.33,0.27,34.27,0.07,0.67,5.43,5.7,2.3,2.83,8.0,16.43,2.47
granada,12.63,4.23,1.93,324.53,0.13,41.63,0.07,1.43,5.07,5.9,2.93,4.13,8.97,13.77,3.17
levante,13.92,3.79,1.67,397.12,0.21,48.33,0.04,1.25,5.33,6.08,2.79,3.42,8.88,14.42,2.29
getafe,15.1,3.93,1.73,310.37,0.13,41.93,0.17,1.77,5.77,7.4,2.6,4.53,10.0,16.27,3.03
